Character Number	State Number	SimJ Partial Recall
1	0	0.113643103634
1	1	0.22345961932
1	2	0.17083544597
2	0	0.157142857143
2	1	0.24957000344
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.0
5	1	0.0
5	2	0.0
6	0	0.41688712522
6	1	0.418647619047
6	2	0.184795668274
6	3	0.0
6	4	0.0
7	0	0.217391304348
7	1	0.0
8	0	0.0667847204656
8	1	0.049815498155
9	0	0.0995260663507
9	1	0.137254901961
10	0	0.0
10	1	0.228882833787
10	2	0.0
11	0	0.114018691589
11	1	0.170074349442
12	0	0.0285714285714
12	1	0.0384615384615
13	0	0.142857142857
13	1	0.0
14	0	0.00120059397807
14	1	0.451154013645
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.0035279025016
17	1	0.0035279025016
18	0	0.00324587503381
18	1	0.00324587503381
19	0	0.0
19	1	0.0
19	2	0.753246753247
20	0	0.683193708326
20	1	0.00353205097609
21	0	0.0
21	1	0.117021276596
22	0	0.738461538462
22	1	0.738461538462
23	0	0.00118746289178
23	1	0.00118746289178
24	0	0.0450958286359
24	1	0.0570125427594
25	0	0.397435897436
25	1	0.397435897436
26	0	0.206572769953
26	1	0.669749009247
27	0	0.0
27	1	0.0
28	0	0.00763358778626
28	1	0.0126091173618
29	0	0.24
29	1	0.25
30	0	0.00559617967468
30	1	0.0055957621428
31	0	0.0
31	1	0.031746031746
32	0	0.527777777778
32	1	0.527777777778
33	0	0.530532724505
33	1	0.771929824561
33	2	0.0
33	3	0.714285714286
33	4	1.0
34	0	0.0
34	1	0.00227100173196
34	2	0.00203705500049
34	3	0.00233786064736
35	0	0.152777777778
35	1	0.152777777778
36	0	0.0
36	1	0.640940525588
37	0	0.0723270440252
37	1	0.46
38	0	0.0
38	1	0.0
38	2	0.444692239072
39	0	0.00373134328358
39	1	0.01003220867
39	2	0.0963902900381
39	3	0.0728384886618
40	0	0.00312798679294
40	1	0.467532467532
40	2	0.00312798679294
41	0	0.0752977385252
41	1	0.0971186192773
42	0	0.0
42	1	0.0
42	2	0.0
43	0	0.0
43	1	0.280155642023
43	2	0.280155642023
44	0	0.0243744327758
44	1	0.0632464255677
45	0	0.185840707965
45	1	0.264150943396
46	0	0.0031746031746
46	1	0.0406976744186
47	0	0.755102040816
47	1	0.174528301887
48	0	0.0
48	1	0.303773237387
48	2	0.353940256455
49	0	0.1
49	1	0.137931034483
