Character Number	State Number	SimJ Partial Precision
1	0	0.04205606499
1	1	0.0195729537367
1	2	0.0533980582525
2	0	0.00753012048192
2	1	0.0149913187716
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.0
5	1	0.0
5	2	0.0
6	0	0.386713882878
6	1	0.251734792042
6	2	0.275571946081
6	3	0.00359633349414
6	4	0.0029754345223
7	0	0.0
7	1	0.00446428571429
8	0	0.102531910442
8	1	0.0287579194543
9	0	0.0700181758097
9	1	0.0697030497593
10	0	0.0
10	1	0.00711237553345
10	2	0.0
11	0	0.161275088548
11	1	0.172894255168
12	0	0.205479452055
12	1	0.294117647059
13	0	0.141592920354
13	1	0.0
14	0	0.000505900651112
14	1	0.225577006823
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.00324587503381
17	1	0.00324587503381
18	0	0.00277328403051
18	1	0.00277328403051
19	0	0.00944287063267
19	1	0.0247371675943
19	2	0.04329004329
20	0	0.00257570483815
20	1	0.961038961039
21	0	0.0456730769231
21	1	0.123764094969
22	0	0.738461538462
22	1	0.421052631579
23	0	0.00183823529411
23	1	0.00183823529411
24	0	0.0225479143179
24	1	0.0285062713797
25	0	0.104166666666
25	1	0.104166666666
26	0	0.0399767608898
26	1	0.5
27	0	0.0
27	1	0.0
28	0	0.00294985250737
28	1	0.00492443812969
29	0	0.0714285714286
29	1	0.0714285714286
30	0	0.000737723835436
30	1	0.000737723835436
31	0	0.375
31	1	0.375
32	0	0.0361212861213
32	1	0.0361212861213
33	0	0.346926235732
33	1	0.0430492433498
33	2	0.0
33	3	1.0
33	4	1.0
34	0	0.0
34	1	0.00214166318429
34	2	0.00214166318429
34	3	0.00225472943247
35	0	0.0
35	1	0.0
36	0	0.352941176471
36	1	0.188664722087
37	0	0.0429824561404
37	1	0.262987012987
38	0	1.0
38	1	0.5
38	2	0.492592592593
39	0	0.03125
39	1	0.0017094017094
39	2	0.0154979045733
39	3	0.0170968277695
40	0	0.00147191103116
40	1	0.00245582918343
40	2	0.00147191103116
41	0	0.108359133127
41	1	0.109756097561
42	0	0.011673151751
42	1	0.0196078431373
42	2	0.011673151751
43	0	0.0
43	1	0.00887245841035
43	2	0.00887245841035
44	0	0.122727272727
44	1	0.109311740891
45	0	0.555555555556
45	1	0.909090909091
46	0	0.0325859908091
46	1	0.0365830838323
47	0	0.00261054005547
47	1	0.00294730615253
48	0	0.0
48	1	0.0849701345875
48	2	0.0832107022847
49	0	0.0169491525424
49	1	0.0227272727273
50	0	0.0106382978723
50	1	0.00797872340426
51	0	0.0243632336656
51	1	0.00405399179988
51	2	0.95652173913
52	0	0.0833333333333
52	1	0.114285714286
53	0	0.0652173913045
53	1	0.00138121546961
54	0	0.1
54	1	0.1
55	0	0.0
55	1	0.00154931525799
55	2	1.0
56	0	0.080357142857
56	1	0.080357142857
57	0	0.492169739833
57	1	0.0654205607477
58	0	0.0837133319127
58	1	0.10698098402
59	0	0.000236854571293
59	1	0.000710732054016
60	0	0.404761904762
60	1	0.0199457259159
61	0	0.941176470588
61	1	0.941176470588
62	0	0.075
62	1	0.0375
63	0	1.0
63	1	0.574786324787
64	0	6.98470349934e-05
64	1	6.98470349934e-05
65	0	0.00156864180344
65	1	0.0039510381159
65	2	0.00387366281666
65	3	0.0
66	0	0.318181818182
66	1	0.318181818182
67	0	0.00175826588811
67	1	0.00127032370029
68	0	0.0760362525788
68	1	0.109073359073
69	0	0.0625
69	1	0.0625
70	0	0.132978723405
70	1	0.132978723405
70	2	0.132978723405
70	3	0.00602119460501
71	0	1.0
71	1	0.0117845117845
71	2	0.00151537828332
72	0	0.0106761565836
72	1	0.0142857142857
73	0	0.490384615385
73	1	0.480769230769
74	0	1.0
74	1	1.0
75	0	0.30522875817
75	1	0.30522875817
76	0	0.0452835783065
76	1	0.0362200511021
77	0	0.722799422799
77	1	0.288495575221
78	0	0.5
78	1	0.5
79	0	0.00030419318156
79	1	0.00030419318156
80	0	1.0
80	1	1.0
81	0	0.284064665127
81	1	0.425740508969
82	0	0.532062164655
82	1	0.448187350657
82	2	0.5
83	0	0.167191011236
83	1	0.246070460704
84	0	1.0
84	1	1.0
85	0	0.00822510822511
85	1	0.00645829973945
85	2	0.952380952381
86	0	0.325792326939
86	1	0.326397467754
87	0	0.076923076923
87	1	0.076923076923
88	0	1.0
88	1	0.58940397351
89	0	0.0
89	1	0.0
90	0	0.221403596403
90	1	0.217907092907
91	0	0.00033383408446
91	1	0.100864181607
92	0	0.303896103896
92	1	0.142005012363
93	0	0.0
93	1	0.0
94	0	0.00295882999408
94	1	0.00295882999408
94	2	0.0
95	0	0.293233082707
95	1	0.325
96	0	1.0
96	1	1.0
97	0	0.0882352941176
97	1	0.060606060606
98	0	0.0
98	1	0.0139914496696
98	2	0.101321585903
99	0	0.572463768116
99	1	0.572463768116
100	0	0.369791666666
100	1	0.0
101	0	0.0274914089347
101	1	0.0274914089347
102	0	0.00560004480035
102	1	0.00980007840065
102	2	0.666666666667
103	0	0.0
103	1	0.0
104	0	1.0
104	1	0.75
105	0	0.0
105	1	0.0
106	0	0.00280520932413
106	1	0.00187013954942
107	0	0.511574074074
107	1	0.296296296297
108	0	0.0
108	1	0.000587546942551
109	0	1.0
109	1	1.0
110	0	0.41935483871
110	1	0.240483106559
110	2	0.0459363957597
111	0	0.0019860393119
111	1	0.000792873466722
112	0	0.0625
112	1	0.0
113	0	0.0
113	1	0.0
114	0	0.380281690141
114	1	0.380281690141
115	0	0.251633016627
115	1	0.0480769230769
115	2	0.306490384615
115	3	0.0
116	0	0.000561077268355
116	1	0.00169182895675
117	0	0.166666666667
117	1	0.0923076923077
118	0	1.0
118	1	1.0
119	0	0.000315049273183
119	1	0.000315049273183
120	0	0.1032819317
120	1	0.1032819317
121	0	0.816176470588
121	1	0.816176470588
122	0	0.0836653386454
122	1	0.114754098361
123	0	0.452261306533
123	1	0.0146699266504
124	0	0.0208981325339
124	1	0.0389389389389
125	0	1.53553221547e-05
125	1	0.000721024526899
125	2	0.0
126	0	0.0
126	1	0.0
127	0	0.0101974114263
127	1	0.666666666667
127	2	0.0592776178799
128	0	0.0
128	1	0.0
129	0	0.0932715988496
129	1	0.118192942201
130	0	0.0844470046083
130	1	0.258620689655
131	0	0.0
131	1	0.00146367768277
132	0	0.398114721219
132	1	0.481818181818
133	0	0.0752908820916
133	1	0.0807516983399
134	0	0.25974025974
134	1	0.25974025974
134	2	0.25974025974
135	0	0.0528450930512
135	1	0.0528450930512
136	0	1.0
136	1	1.0
137	0	0.5
137	1	0.5
137	2	0.0
138	0	0.777108433735
138	1	0.777108433735
139	0	0.140483383686
139	1	0.206666666666
140	0	0.0
140	1	0.0
141	0	0.0713391739675
141	1	0.00567432632304
142	0	0.75
142	1	1.0
142	2	0.575
143	0	0.0579710144928
143	1	0.0579710144928
144	0	0.208609656777
144	1	0.244444444444
145	0	0.372881355932
145	1	0.372881355932
145	2	0.0
145	3	0.372881355932
146	0	0.14373638329
146	1	0.222215718474
147	0	0.0
147	1	0.0
148	0	0.015625
148	1	0.00496899362317
148	2	0.0078125
149	0	1.0
149	1	1.0
150	0	0.0
150	1	0.0
150	2	0.0
150	3	0.0
151	0	0.0132743362832
151	1	0.0178571428571
152	0	0.0
152	1	0.0
153	0	0.438095238095
153	1	0.438095238095
154	0	0.183823529412
154	1	0.183823529412
155	0	0.00233093606981
155	1	0.566037735849
156	0	0.0
156	1	0.0
157	0	1.0
157	1	1.0
158	0	0.103448275862
158	1	0.142857142857
159	0	0.0167131613509
159	1	0.0257921356621
160	0	0.452261306533
160	1	0.0146699266504
161	0	0.0327868852459
161	1	0.2
162	0	0.5
162	1	0.5
163	0	0.0217391304348
163	1	0.0217391304348
164	0	0.244354736442
164	1	0.350164547349
165	0	0.0255592662259
165	1	0.0320726201646
166	0	0.241379310345
166	1	0.0
166	2	0.0
167	0	0.68
167	1	0.68
168	0	0.0263166784906
168	1	0.0
169	0	0.328605516398
169	1	0.586018655925
170	0	0.774193548387
170	1	0.122549019608
170	2	0.122549019608
171	0	0.0654306220095
171	1	0.0478423475259
172	0	0.0
172	1	0.0
173	0	0.471264367816
173	1	0.477011494253
174	0	0.578947368421
174	1	0.578947368421
175	0	0.0732123295708
175	1	0.0974646779113
176	0	0.0357142857143
176	1	0.0357142857143
177	0	0.0
177	1	0.0
178	0	0.285714285714
178	1	0.140001546306
179	0	0.04
179	1	0.04
180	0	0.02
180	1	0.02
180	2	0.02
181	0	0.0776609455855
181	1	0.140957663321
181	2	0.073742498912
182	0	0.0992063492063
182	1	0.0192307692308
182	2	0.0
183	0	0.39330543933
183	1	0.520737327189
184	0	0.149206349206
184	1	0.149206349206
184	2	0.149206349206
184	3	0.149206349206
185	0	0.00361526820246
185	1	0.00361526820246
186	0	0.357936507937
186	1	0.122571428571
186	2	0.458333333334
186	3	0.273882783883
187	0	0.0
187	1	0.0
188	0	1.0
188	1	0.424342105263
188	2	0.424342105263
189	0	0.0027044931345
189	1	0.299522382036
190	0	0.028735632184
190	1	0.0333931419458
190	2	0.0046992481203
191	0	0.0127457658377
191	1	0.0153920681333
192	0	0.2578125
192	1	0.0733333333333
193	0	0.0589407471432
193	1	0.05873410203
194	0	0.538461538462
194	1	0.35593220339
195	0	0.444444444444
195	1	0.444444444444
196	0	0.193219467997
196	1	0.000991253999824
196	2	0.298940333777
197	0	0.091093117409
197	1	0.129310344828
198	0	0.218326758711
198	1	0.276659451659
199	0	0.0171428571429
199	1	0.92
200	0	0.0277777777778
200	1	0.0277777777778
201	0	0.75
201	1	0.375
201	2	1.0
202	0	0.0
202	1	0.0
203	0	0.000133173525103
203	1	3.32911645249e-05
