Character Number	State Number	SimJ Partial Recall
1	0	0.05871886121
1	1	0.239130434783
1	2	0.160194174758
2	0	0.182926829268
2	1	0.213305613306
3	0	0.0
3	1	0.0
4	0	0.0
4	1	0.0
5	0	0.0
5	1	0.0
5	2	0.0
6	0	0.370296209349
6	1	0.387644693555
6	2	0.204294768716
6	3	0.11753371869
6	4	0.0
7	0	0.0851272015655
7	1	0.0
8	0	0.0667847204656
8	1	0.0416666666667
9	0	0.137931034483
9	1	0.137931034483
10	0	0.0
10	1	0.228882833787
10	2	0.0
11	0	0.145454545455
11	1	0.460037174721
12	0	0.025641025641
12	1	0.0344827586207
13	0	1.0
13	1	0.0
14	0	0.00120059397807
14	1	0.451154013645
15	0	0.0
15	1	0.0
16	0	0.0
16	1	0.0
17	0	0.0684125588773
17	1	0.0684125588773
18	0	0.00277328403051
18	1	0.00277328403051
19	0	0.0
19	1	0.0
19	2	0.753246753247
20	0	0.443956496149
20	1	0.00599895078264
21	0	0.0
21	1	0.159056898144
22	0	0.738461538462
22	1	0.738461538462
23	0	0.000445293366301
23	1	0.000445293366301
24	0	0.0263308026506
24	1	0.0190041809198
25	0	0.234375
25	1	0.234375
26	0	0.14848143982
26	1	0.329071575239
27	0	0.0
27	1	0.0
28	0	0.40625
28	1	0.403125
29	0	0.25
29	1	0.260869565217
30	0	0.00559617967468
30	1	0.0055957621428
31	0	0.0
31	1	0.0185185185185
32	0	0.351851851852
32	1	0.351851851852
33	0	0.35149890808
33	1	0.771929824561
33	2	0.0
33	3	0.6875
33	4	1.0
34	0	0.0
34	1	0.00193662800137
34	2	0.00216524777324
34	3	0.00193662800137
35	0	0.186046511628
35	1	0.186046511628
36	0	0.0
36	1	0.329399379432
37	0	0.345604036251
37	1	0.601097178683
38	0	0.0
38	1	0.0
38	2	0.140625
39	0	0.00306748466258
39	1	0.00262467191601
39	2	0.0227272727273
39	3	0.0227272727273
40	0	0.0438952534598
40	1	0.455696202532
40	2	0.0438952534598
41	0	0.114746881878
41	1	0.130175836642
42	0	0.0
42	1	0.0
42	2	0.0
43	0	0.0
43	1	0.303571428571
43	2	0.303571428571
44	0	0.150829793087
44	1	0.150825183374
45	0	0.185840707965
45	1	0.264150943396
46	0	0.00831327839944
46	1	0.0249315204665
47	0	0.00251441453158
47	1	0.122218194377
48	0	0.00629373088147
48	1	0.314085949135
48	2	0.569816449903
49	0	0.00234741784038
49	1	0.00234672924611
50	0	0.0454545454545
50	1	0.0340909090909
51	0	0.00409126671912
51	1	0.00102475169478
51	2	0.282608695652
52	0	0.051724137931
52	1	0.0701754385965
53	0	0.130434782609
53	1	0.00729927007299
54	0	0.0186567164179
54	1	0.0186393289842
55	0	0.0
55	1	0.00387328814497
55	2	1.0
56	0	0.160714285714
56	1	0.160714285714
57	0	1.0
57	1	0.0666666666667
58	0	0.181818181818
58	1	0.258064516129
59	0	0.000710732054016
59	1	0.000710732054016
60	0	0.833333333334
60	1	0.119402985075
61	0	0.941176470588
61	1	0.941176470588
62	0	0.0174901015665
62	1	0.01740237691
63	0	0.847826086957
63	1	0.428493734106
64	0	0.0142892083953
64	1	0.0142822240733
65	0	0.0019116875328
65	1	0.0039510381159
65	2	0.00780652074085
65	3	0.0
66	0	0.168674698795
66	1	0.168674698795
67	0	0.00224712543046
67	1	0.00224712543046
68	0	0.00190621425848
68	1	0.00136149686856
69	0	0.236363636364
69	1	0.236363636364
70	0	0.265957446809
70	1	0.00237920937042
70	2	0.00313825275657
70	3	0.0
71	0	0.194444444444
71	1	0.00150500315343
71	2	0.00121992809207
72	0	0.0028818443804
72	1	0.00205761316872
73	0	0.0641711229947
73	1	0.0470347648262
74	0	1.0
74	1	1.0
75	0	0.542650918635
75	1	0.632882882882
76	0	0.0723468370686
76	1	0.072348077987
77	0	0.00804403048264
77	1	0.274632516704
78	0	1.0
78	1	1.0
79	0	0.0020254873829
79	1	0.0020254873829
80	0	1.0
80	1	1.0
81	0	0.173210161663
81	1	0.245098039216
82	0	0.649730259677
82	1	0.340732662569
82	2	0.504155946962
83	0	0.0
83	1	0.0
84	0	1.0
84	1	1.0
85	0	0.00343249427918
85	1	0.00767056923698
85	2	0.833333333333
86	0	0.00391961674858
86	1	0.214653892076
87	0	0.153846153846
87	1	0.153846153846
88	0	1.0
88	1	1.0
89	0	0.283582089552
89	1	0.283582089552
90	0	0.00114311842707
90	1	0.00109754424475
91	0	0.00033383408446
91	1	0.201728363214
92	0	0.47689361628
92	1	0.560041407868
93	0	0.583333333333
93	1	0.583333333333
94	0	0.00887648998225
94	1	0.00887648998225
94	2	0.0
95	0	0.0225563909774
95	1	0.0227272727273
96	0	0.0
96	1	0.0
97	0	0.00212879191059
97	1	0.00212822559191
98	0	0.0
98	1	0.0
98	2	0.111111111111
99	0	0.717391304348
99	1	0.717391304348
100	0	0.693181818182
100	1	0.0
101	0	0.0706319702602
101	1	0.0616883116883
102	0	0.0121956531208
102	1	0.0196001568013
102	2	1.0
103	0	0.0
103	1	0.0
104	0	1.0
104	1	0.589085072231
105	0	0.0
105	1	0.0
106	0	0.00317292437864
106	1	0.00265310634535
107	0	0.212765957447
107	1	0.690476190476
108	0	0.0
108	1	0.412157130734
109	0	0.122807017544
109	1	0.122807017544
110	0	0.41935483871
110	1	0.41935483871
110	2	0.0459363957597
111	0	0.0019860393119
111	1	0.00951448160067
112	0	0.505864091066
112	1	0.0
113	0	0.0
113	1	0.0
114	0	0.0
114	1	0.0
115	0	0.34585924814
115	1	0.0498045029295
115	2	0.319325422393
115	3	0.0
116	0	0.00224430907342
116	1	0.00205873468121
117	0	0.149163518618
117	1	0.0659971305596
118	0	0.0
118	1	0.0
119	0	0.0967741935484
119	1	0.133333333333
120	0	0.824324324324
120	1	0.512605042017
121	0	0.632352941176
121	1	0.0
122	0	0.002227880331
122	1	0.002227880331
123	0	0.0677040994076
123	1	0.00982532751092
124	0	0.0757097791798
124	1	0.137254901961
125	0	0.00211516381329
125	1	0.192704718945
125	2	0.0
126	0	0.0
126	1	0.0
127	0	0.0019647093713
127	1	0.507598026822
127	2	0.0857605177994
128	0	0.0
128	1	0.0
129	0	0.191480820416
129	1	0.127476190476
130	0	0.00122624156959
130	1	0.0
131	0	0.0013734238667
131	1	0.00452702702702
132	0	0.264705882353
132	1	0.719457013575
133	0	0.11493635357
133	1	0.11493635357
134	0	0.723684210526
134	1	0.723684210526
134	2	0.964912280702
135	0	0.517857142857
135	1	0.517857142857
136	0	0.12
136	1	0.12
137	0	1.0
137	1	1.0
137	2	0.0
138	0	0.55421686747
138	1	0.55421686747
139	0	0.168539325843
139	1	0.238095238095
140	0	0.0
140	1	0.0
141	0	0.00455729166667
141	1	0.00622903689506
142	0	0.0189755569097
142	1	0.037037037037
142	2	0.0189755569097
143	0	0.231884057971
143	1	0.231884057971
144	0	0.0531400966184
144	1	0.0528846153846
145	0	0.210526315789
145	1	0.210526315789
145	2	0.0
145	3	0.210526315789
146	0	0.036192271442
146	1	0.0259263260235
147	0	0.146666666667
147	1	0.146666666667
148	0	0.0192307692308
148	1	0.00766283524904
148	2	0.0192307692308
149	0	1.0
149	1	1.0
150	0	0.0
150	1	0.0
150	2	0.0
150	3	0.0
151	0	0.0275229357798
151	1	0.037037037037
152	0	0.0
152	1	0.0
153	0	0.623839009288
153	1	0.623839009288
154	0	0.367647058824
154	1	0.367647058824
155	0	0.00233093606981
155	1	0.284158047146
156	0	0.20987654321
156	1	0.20987654321
157	0	1.0
157	1	1.0
158	0	0.12676056338
158	1	0.176470588235
159	0	0.00698080279232
159	1	0.00698324022346
160	0	0.14201183432
160	1	0.00926998841251
161	0	0.0327868852459
161	1	0.2
162	0	0.903225806452
162	1	0.903225806452
163	0	0.160021958416
163	1	0.186440677966
164	0	0.00879299816813
164	1	0.0110154624454
165	0	0.0218152596944
165	1	0.022362129668
166	0	0.413793103448
166	1	0.0
166	2	0.0
167	0	0.0
167	1	0.0
168	0	0.0531914893617
168	1	0.0
169	0	0.0874704491726
169	1	0.0
170	0	0.0
170	1	1.0
170	2	1.0
171	0	0.127659574468
171	1	0.0927835051546
172	0	0.0
172	1	0.0
173	0	1.0
173	1	1.0
174	0	1.0
174	1	1.0
175	0	0.253189129229
175	1	0.431996009851
176	0	0.352941176471
176	1	0.352941176471
177	0	0.0
177	1	0.0
178	0	0.269230769231
178	1	0.139958736955
179	0	0.04
179	1	0.04
180	0	0.824561403509
180	1	0.824561403509
180	2	0.824561403509
181	0	0.0
181	1	0.000289100896213
181	2	0.0193000514668
182	0	0.78125
182	1	0.0188679245283
182	2	0.0
183	0	0.126315789474
183	1	0.0899182561308
184	0	0.456310679612
184	1	0.456310679612
184	2	0.456310679612
184	3	0.0
185	0	0.0169491525424
185	1	0.0227272727273
186	0	0.362013872652
186	1	0.150684931507
186	2	0.0804597701149
186	3	0.370879120879
187	0	0.0
187	1	0.0
188	0	1.0
188	1	0.296892980437
188	2	0.296892980437
189	0	0.00778868946834
189	1	0.956738768719
190	0	0.118421052632
190	1	0.120941558442
190	2	0.0422535211268
191	0	0.0338983050847
191	1	0.0245271867612
192	0	0.0170410534469
192	1	0.0084452975048
193	0	0.228070175439
193	1	0.228070175439
194	0	0.078431372549
194	1	0.0675105485232
195	0	0.722222222222
195	1	1.0
196	0	0.372451552482
196	1	0.00175932441942
196	2	0.595628415301
197	0	0.288888888889
197	1	0.426229508197
198	0	0.00612843058886
198	1	0.00638807559223
199	0	0.0434782608696
199	1	0.0434782608696
200	0	0.0
200	1	0.0
201	0	0.0
201	1	0.0142180094787
201	2	0.0212765957447
202	0	0.0
202	1	0.0
203	0	0.000133173525103
203	1	3.32911645249e-05
